nome,concelho,estado,promotor,tipologias,conclusao,preco_m2,notas,latitude,longitude,link
Edificio Panorama,Porto,Concluído,,,2024,,Aparatamentos T2 a T4,41.149074155060326,-8.641353189072976,https://grupomcaetano.pt/empreendimentos/panorama-douro-residences/
Marina Douro,Vila nova de Gaia,Em construção,,,2026,,Apartamentos T1 a T5,41.14013042837216,-8.651654278112877,https://marinadouro.com/disponibilidades/
Douro Atlântico III,Vila nova de Gaia,Em construção,,,2026,,Aparatamentos T2 a T4,41.13499384759188,-8.667757170720947,https://grupomcaetano.pt/empreendimentos/douro-atlantico-iii/
Sal Douro Ocean,Vila nova de Gaia,Concluído,,,2025,,Apartamentos T1/T2/T3,41.134369107234086,-8.668771057960605,https://saldouro.com/collection/ocean/
Sal Douro Park,Vila nova de Gaia,Em construção,,,2026,,Apartamentos T1/T2/T3,41.13324589063327,-8.667773276265095,https://saldouro.com/collection/park/
Sal Douro reserve,Vila nova de Gaia,Em construção,,,2027,,Apartamentos T1/T2/T3,41.134748895546885,-8.667912751125757,https://saldouro.com/collection/reserve/
Sal Douro Coast,Vila nova de Gaia,Em construção,,,2027,,Apartamentos T1/T2/T3,41.13324589063327,-8.66776254742966,https://saldouro.com/collection/coast/
Sal Douro Horizon,Vila nova de Gaia,Em construção,,,2027,,Apartamentos T1/T2/T3,41.13324589063327,-8.66776254742966,https://saldouro.com/collection/horizon/
Egas Moniz 209,Porto,Em construção,,,2027,,"15 apartamentos (T1 a T3 duplex, entre 52 m² e 139 m² - Comercializado por Quintela e Penalva",41.16327642515784,-8.619225835041389,https://egasmoniz209.pt
Casas Alma,,Em construção,,,2026,,Moradias T3 - Norden promotor,41.07866875799975,-8.619647005820633,https://www.norden.pt/alma/#
A Quadra,,Em construção,,,2027,,Apartamentos T1/T2/T3 - Comercializado por JLL,41.13076744940458,-8.605106825709381,https://quadra-gaia.pt
Eleven,,Concluído,,,2025,,Apartamentos T1/T2/T3/T4 - Taga Urbanic,41.12894963725594,-8.60895888399385,https://elevengaia.com
Cais da Pescaria,Vila nova de Gaia,Em construção,,,2027,,20 Apartamentos T1,41.14178070487412,-8.624313874416748,https://royal-ventures.com/projects/pescaria-riverfront-vila-nova-de-gaia/
Rasa 503,Vila nova de Gaia,Em construção,,,2027,,12 Apartamentos T1 a T3,41.11820645430063,-8.610682674417696,https://plano-inclinado.pt/projetos/rasa-503-vng
Serralves 239,Porto,Em construção,,,2027,,12 Apartamnetos T1/T2/T3/T4,41.15524885709748,-8.65070278975788,https://plano-inclinado.pt/projetos/serralves-239
Land Roots River,Vila nova de Gaia,Concluído,,,2025,,4 Apartamentos T2,41.13666037828811,-8.621066547429539,https://www.land-roots.com
Side Avenue,,Em construção,,,2027,,Apartamentos T0/T1/T2,41.12109124577433,-8.60884020325301,https://cleveroption.pt/avenue/
Royal Green,,Em construção,,,2026,,Apartamentos T/T2/T2 duplex - 11 pisos,41.11826078886197,-8.617716332158436,https://royalgreentower.pt
Prestige Gaia,,Em construção,,,2027,,80 Apartamentos T1/T2,41.12621611065877,-8.63051265374531,https://prestigegaia.pt
Arsil 9,,Em construção,,,2026,,Apartamentos T1/T2/T3/T4,41.11160694000072,-8.60265848975971,https://www.arsilinvestimentos.pt/arsil-9-clube-dos-cacadores/
Fojo Residence,,Em construção,,,2027,,111 Apartamentos T1/T2,41.1313715094334,-8.639502539030412,https://gruporio.pt/projeto/fojo/
Jardim das Flores,,Em licenciamento,,,2030,,152 Apartamentos T0/T1/T2,41.10516809637983,-8.622132239790282,https://gruporio.pt/projeto/jardim-das-flores/
São Dinis,,Licenciado,,,2028,,38 Apartamentos T0/T1/T2,41.16785472488655,-8.619386774415608,https://gruporio.pt/projeto/sao-dinis/
Sea Leça,,Em licenciamento,,,2030,,Brevemente,41.18199770935888,-8.678189777553738,https://gruporio.pt/projeto/sea-leca/
Majestic Beach,,Licenciado,,,2027,,Apartamentos T1/T2/T3 - Comercializado por Réplica,41.12948907623479,-8.6665233835363,https://www.idealista.pt/empreendimento/34259172/
Jardins do Olival,,Em construção,,,2026,,52 Apartamentos T1/T2/T3,41.04568944537345,-8.504388544282502,
Edificio Serra do Pilar Condominium,,Em construção,,,2026,,12 Apartamentos T2 e T3,41.135148548757925,-8.606343233021903,https://kokyuproperties.com/pt/projects/serra-do-pilar/index.html
Edificio Genuíno Gaia,,Concluído,,,2025,,36 Apartamentos T1/T2/T3,41.11885677314856,-8.632138615074714,https://genuinoinvestments.com/projeto/genuino-santa-marinha/
Pinheiro Manso Residences,,Em construção,,,2027,,23 Apartamentos T1/T2/T3/T4,41.16585498321708,-8.65142693200518,https://www.idealista.pt/empreendimento/33985404/
Fenão de Magalhães 127,,Em construção,,,2027,,334 Apartamentos T0 a T3+1,41.15165864144376,-8.597703289678405,https://www.avenue.pt/pt/projetos/fernao-magalhaes-127/
Life in Porto,,Em construção,,,2026,,108 Apartamentos T0/T1/T2,41.15435513479774,-8.605841232005726,https://www.homehub.pt/pt/empreendimentos/life-in-porto_7/
Antas Atrium,,Em construção,,,2027,,168 Apartamentos T0 a T4 - 2ª fase,41.163803187891176,-8.5870737748729,https://antasatrium.com
Torrinha Garden,,Em construção,,,2027,,27 Apartamentos T1/T2,41.15272879557559,-8.62132977433331,https://kokyuproperties.com/pt/projects/torrinha-gardens/index.html
Bouças Ribas,,Em licenciamento,,,2028,,37 Apartamentos T1/T2/T3,41.16102686008893,-8.574724811453944,https://boucaribas.com
Clover Hill,,Em construção,,,2027,,29 Apartamentos T1/T2,41.15608235257066,-8.60240373200569,
Bonart Homes,,Em construção,,,2027,,Apartamentos T0 a T3 duplex,41.14975548981146,-8.593481086508765,http://bonart.pt
Edificio Nasoni,,Em construção,,,2027,,61 Apartamentos T1/T2,41.16997484377902,-8.579081889677575,https://www.replica.pt/empreendimentos/detalhe/edificio-nasoni_534/pt
Ferreira Castro Flats,,Em construção,,,2026,,38 Apartamentos T0/T1/T2/T3,41.15092817890355,-8.593203933652424,
GJ 432,,Em licenciamento,,,2028,,5 Apartamentos T2/T3 - 1 apt por piso,41.15699358401292,-8.636762289678124,https://moraissoaresarquitectos.pt/pt-pt/projectos/guerra-junqueiro-432/
Cartes L3,,Em licenciamento,,,2028,,Apartamentos T0/T1,41.16140986278274,-8.57400901851421,https://carfam.pt/projectos-em-desenvolvimento/cartes-l3/
Eden,,Em construção,,,2027,,43 Apartamentos de T1 a T5,41.16351582742485,-8.677519848431455,https://www.nomadeden.com
Ouro Valley - Rio Tinto,,Em construção,,,2027,,219 Apartamentos T1/T2/T3,41.166472610941376,-8.549377901404133,https://gfh.pt/pt/portfolio/ouro-valley/
Limites de Espinho,,Em construção,,,2027,,16 Apartamentos T2/T3,40.98357002058062,-8.622787544637047,https://remax.pt/pt/empreendimento/empreendimento-rua-dos-limites/8465
Espinho Beach Residences,,Em construção,,,2026,,65 Apartamentos T1/T2/T3/T4,41.00279747137172,-8.64483656250803,https://espinhobeachresidences.pt
light Sea,,Em construção,,,2026,,9 Apartamentos T1/T2/T3,41.00876586582515,-8.635710489685447,https://mafavis.pt/portfolio/light-sea/
The Line,,Em construção,,,2026,,18 Apartamentos T1/T2,41.16490244275441,-8.635848271097249,https://mafavis.pt/portfolio/the-line/
Black&White,,Em construção,,,2026,,12 Apartamentos T1/T2/T3/T4,41.00639962337669,-8.627753231682597,https://blackwhite.pt
Twins 22,,Concluído,,,2025,,46 Apartamentos T1/T2/T3,41.00217838827017,-8.638982350142372,https://twins22.pt
Green Golf Villas,,,,,2028,,9 Moradias T3+1 e T4,41.14119731337355,-8.568019960489835,
Orizon Living,,Licenciado,,,2028,,200 Apartamentos T1 a T4 - Comercialização Réplica e Dills,41.14119731337355,-8.568019960489835,https://www.shaluinvest.pt/orizon-living
Lurion,,Em construção,,,2028,,Apartamentos de T0 a T4,41.13324972791349,-8.599380974599644,https://revito.pt/project/solar/
Edificio Quinta Amarela,,Concluído,,,2025,,14 Apartamentos T1/T2/T3/T4 - Imotolouse,41.16380461946861,-8.626332431884752,https://imotolouse.pt/portfolio/quinta-amarela/
The Garden - Matosinhos - Colégio Efanor,,Em construção,,,2027,,146 Apartamentos T0 a T4,41.18622693333881,-8.650575274212445,https://www.jardinsefanor.pt/pages/edificio-lake/
Santa´s Residence,,Em construção,,,2027,,Apartamentos T2 e T3,41.21174431980964,-8.57398568955385,https://jcgroup.pt/jcimobiliaria/imoveis/aguas-santas/
Unique - Padrão da Légua - Av. Xana Gusmão,,Em construção,,,2027,,55 Apartamentos T1 a T3,41.19120673838551,-8.633362131883537,https://www.idealista.pt/empreendimento/33989967/
Cais de Leça,,Em construção,,,2027,,29 Apartamentos T1/T2,41.19490723468792,-8.69333716071897,https://www.idealista.pt/empreendimento/33985409/
Val D'Ouro Palace,,Em construção,,,2027,,13 apartamentos T1 a T4 e 1 VillaT4,41.14580811803748,-8.621418674214297,https://valdouropalace.com/pt/home-2/
The ViewII,,Em construção,,,2027,,29 Apartamentos T2/T3/T4,41.138206195174526,-8.569972660721525,https://www.rivage.pt
Aurora Flower Tower,,Em construção,,,2027,,124 Apartamentos T1 a T3 - 22 pisos,41.19865562544128,-8.692305958869394,https://www.vizta.pt/pt/projetos/flower-tower-aurora/3616/?utm_source=google&utm_medium=cpc&utm_campaign=aurora_brand&gad_source=1&gad_campaignid=23009199109&gbraid=0AAAAACKIjOkCn8AGRlntX3SFfkkFkt9ue&gclid=Cj0KCQjwl5jHBhDHARIsAB0Yqjxj4oQD8COAenud-Az3Sfey04yxL9L35lyqLKWBOcPVg6fhXF0vtIEaAi1PEALw_wcB
Ocean´s Residence,,Em construção,,,,,Apartamentos T3,41.27793998144888,-8.72407064537272,https://www.idealista.pt/empreendimento/33217139/
Serpa 687,,Em construção,,,2026,,Apartamentos T1,41.18103519400735,-8.69118058770581,https://www.martinaarch.com/project/sp687/
Pleno,,Em construção,,,2027,,110 Apartamnetos T1 a T4,41.20236599443278,-8.567972789554286,https://www.vizta.pt/pt/projetos/pleno/4051/
Miramar IV,,Em construção,,,2027,,Apartamentos T1/T2/T3,41.11888377446066,-8.631533077860519,https://www.sublimar.pt/edificios-residenciais/
Cedofeita 271,,Em construção,,,2027,,7 Apartamentos T0 e 1 T2,41.15193445457889,-8.61776491654277,https://www.idealista.pt/empreendimento/34400011/
Alvares Cabral 91,,Em construção,,,2026,,8 Apartamentos  T0 e T1,41.15536864442187,-8.617731489556366,https://royal-ventures.com/projects/republica-square/
Ivens 734,,,,,,,17 Apartamentos T1 - Rc + 4 pisos,41.18112664356008,-8.690685874212722,https://royal-ventures.com/projects/ivens-matosinhos-sul/
Catarina 677,,,,,,,3 Apartamentos T1 e T2,41.15240873160375,-8.60499246072091,https://royal-ventures.com/projects/santa-catarina/
Sá da Bandeira 31/39,,,,,,,8 Apartamentos T0/T2/T3 + 1 comercial,41.14665408674756,-8.610243076063638,https://royal-ventures.com/projects/sa-da-bandeira/
Almada 631,,,,,,,8 apartamentos T1 e T3 Triplex,41.15319693753287,-8.612223618392102,https://royal-ventures.com/projects/almada/
Passos Manuel 182,,Concluído,,,2025,,7 Apartamentos T1 / T2 duplex / Penthouse - Comercializado pela Dills,41.14686526957011,-8.605599560721135,https://www.idealista.pt/empreendimento/31693901/
Aliados 9,,Concluído,,,2025,,1 Apartamento T2,41.1472694832845,-8.611646283837771,https://www.idealista.pt/empreendimento/34130962/
Palácio Fervença,,Concluído,,,2025,,Apartamentos T1 e T2,41.13733062671569,-8.610692119804538,https://www.garveturproperties.com/detalhes-do-empreendimento/apartamentos-de-luxo-em-vila-nova-de-gaia/21689481
Boavista II,,Concluído,,,2025,,46 Apartamentos T2/T3/T4,41.15709128871051,-8.624737520462414,https://www.idealista.pt/empreendimento/32458380/
Pac Man Bulding,,Em construção,,,2026,,"apartamentos T1, T2, T3 e duplex",41.17985479694232,-8.679206874415108,https://www.predialmar.pt/empreendimento/pac-man-building/21119410
O2 Maia,,Em construção,,,2025,,54 Apartamentos T1 a T4,41.23864454080866,-8.620794396287629,https://abbimoveis.com/?jsf=bricks-query-loop&tax=zona:93
Serralves,,Em construção,,,2027,,87 Apartamentos T1 a T4,41.156927584760425,-8.651765329066805,https://abbimoveis.com/imobiliario-habitacao/serralves/
Prisma Douro,,Em construção,,,2026,,6 Apartamento - 3 T2 e 3 T3,41.148624643265855,-8.636486060922728,https://www.pfarchviz.com/pt/prisma-douro
Torrinha 337,,Concluído,,,2025,,4 Apartamentos T1,41.152872951803225,-8.623475047464963,https://www.idealista.pt/empreendimento/34509751/
Villa Arpel São Roque,,Em construção,,,2026,,5 Apartamentos T2 e T3,41.16505922387608,-8.572239175316545,https://www.idealista.pt/empreendimento/33847018/
Freixo Residence,,Em construção,,,2026,,11 Apartamentos T2,41.1417582236252,-8.572207543200904,https://www.idealista.pt/empreendimento/34509753/
Oceanic Reserve,,Em construção,,,2027,,14 Residencias T3 e T4,41.25026896346896,-8.717503774440955,https://www.oceanicreserve.com/en/
Villas Mearim,,Em construção,,,2026,,2 Moradias T4,41.18355998977074,-8.685776774444362,https://prestigerealtyadvisors.pt/imovel/moradias/matosinhos/venda/villas-mearim/
Bow 136,,Em construção,,,2026,,8 Moradias T0 a T2 (Promotor - Formalidades),41.1480766291095,-8.66343984560978,https://prestigerealtyadvisors.pt/imovel/empreendimentos/porto/venda/bow-136/
Brito Capelo 1023,,Licenciado,,,2028,,75 Apartamentos T1 a T4,41.17906139863145,-8.689093289790566,https://prestigerealtyadvisors.pt/imovel/empreendimentos/matosinhos/venda/brito-capelo-1023/
Mira Douro,,Concluído,,,2023,,54 Apartamentos T2 a T4,41.16054615042859,-8.588436603834941,https://www.promiris.com/pt/projectos/
Oporto Luxury Residences,,Em construção,,,2026,,84 Apartamentos T1 a T3,41.18023002099672,-8.582827732261805,https://www.grupoarliz.pt/oporto-luxury-residences/
Greens Vila Moura,,Em construção,,,,,,37.10728614237546,-8.142323603740383,https://www.garveturproperties.com/detalhes-do-empreendimento/empreendimento-greens-vilamoura-apartamentos-t2-a-t5/19762419
Oriental Park,,Em construção,,,2027,,18 Apartamentos T0 a T2,41.151594459593056,-8.566722564135889,https://prestigerealtyadvisors.pt/imovel/apartamentos/porto/venda/oriental-park/
Matsu,,Em construção,,,2027,,15 Apartamento T1 + 2 Lojas,41.156751813338325,-8.625018954219062,https://matsuporto.pt/wp-content/uploads/2025/10/MATSU-PORTO_Brochura-Digital_PT.pdf
Vintage 18,,Em construção,,,2026,,,41.13222328978224,-8.625819154989989,https://www.vintage18.pt
Kori Douro,,Em construção,,,2026,,Simple Smart S1 e S2,41.13207754360183,-8.626357537767738,https://douro.kori.com.pt
Quinta Cravel - Kori,,Em construção,,,2027,,,41.11408571715527,-8.60131763155496,https://cravel.kori.com.pt/?gad_source=1&gad_campaignid=22223823485&gbraid=0AAAAAocFJYoonkKlwyALqE-vzoveWIpd0&gclid=Cj0KCQjw9obIBhCAARIsAGHm1mQB7ELrjFX8xIIk_jqrKRmhtt-e1DrFAru9NzE4ExOFVNCawu3NOUIaAuuoEALw_wcB
Casal de Passos,,,,,,,2 Apartamentos T3,41.16276321077935,-8.670590208487024,
