"slug","refInterna","nome","concelho","estado","promotor","tipologias","conclusaoAno","conclusaoMes","conclusao","preco_m2","precoPedido","notas","link","lat","lng","isEmpreendimento","docs","ownerNome","ownerTelefone","ownerTelemovel","contactos"
"apa53572---living-park-vii","","APA_53572 - LIVING PARK VII","PAREDES","em_construcao","MCAETANO","T1 / T2 / T3 / T4","2028","4","2028","","","Apartamentos T2/T3
Só está internamente","https://grupomcaetano.pt","41.20736017061847","-8.324848699290392","1","[{""title"":""Informação"",""type"":""pdf"",""url"":""https://s.craft.me/jZ3i4LBTtr3Aiz""}]","","","",""
"apa52862---boss-garden","","APA_52862 - BOSS GARDEN","PORTO","em_construcao","ARANSA","T2 / T3","2027","6","2027","","","Apartamentos T3
CONCLUSÃO 1 SEMESTRE 2027","https://aransahomes.pt","41.16772579295225","-8.618726745895463","1","[]","","","",""
"hab53286---privilege-gaia","","HAB_53286 - PRIVILEGE GAIA","VILA NOVA DE GAIA","em_construcao","ARANSA","MORADIAS T3","2028","12","2028","","","Moradias T3
CONCLUSÃO FINAL DE 2028","https://aransahomes.pt","41.064722587590055","-8.63734999653012","1","[{""title"":"""",""type"":""pdf"",""url"":""https://s.craft.me/CFREdsaBweVENj""}]","","","",""
"miramar-gardens","","MIRAMAR GARDENS","VILA NOVA DE GAIA","licenciado","ARANSA","T2 / T3 / T4","2028","12","2028","","","Apartamentos T2/T3/T4 - Ainda não começou
INICIO DA OBRA PREVISTO PARA FEV. 26 
CONCLUSÃO DA OBRA PREVISTO PARA FIM DE 2028","https://aransahomes.pt","41.06470618334978","-8.636321968433883","1","[{""title"":""Informação"",""type"":""pdf"",""url"":""https://s.craft.me/Ceaw8hRHu0hdgf""}]","","","",""
"apa53018---vintage-gardens","","APA_53018 - VINTAGE GARDENS","PORTO","em_construcao","SPINTOS","T1 / T1+1 / T2","2026","12","2026","","","Apartamentos T1/T2
CONCLUSÃO PREVISTO PARA FINAL DE 2026","https://www.spintos.pt/inmobiliaria","41.17820021455164","-8.584611707573764","1","[{""title"":""Informação"",""type"":""pdf"",""url"":""https://s.craft.me/ZyeoiaukbWhdlJ""}]","","","",""
"apa52719---riviera-river","","APA_52719 - RIVIERA RIVER","GONDOMAR","em_construcao","ESPELHO PLANETÁRIO LDA","T2 / T3","2026","3","2026","","","Apartamentos t2/ Só Revendas
CONCLUSÃO PREVISTO PARA MARÇO DE 2026","https://s.craft.me/iNO9646UXPVakH","41.12686838810591","-8.54211516183474","1","[]","","","",""
"apa53092---edificio-radical-i","","APA_53092 - EDIFÍCIO RADICAL I","VILA NOVA DE GAIA","em_construcao","","T2 / T3","2025","12","2025","","","Apartamentos T3
CONCLUSÃO FINAL 2025","https://s.craft.me/PRE5LHE0vGG99k","41.1264522731553","-8.624792123365081","1","[]","","","",""
"santa-aqua-living","","SANTA AQUA LIVING","MAIA","em_construcao","VIALFASA","T1 / T2 / T3","2027","12","2027","","","Apartamentos T1 / T2/T3","https://s.craft.me/HZPgxxdg16ucHq","41.19786061423495","-8.580508013560049","1","[]","","","",""
"gaia-hills","","GAIA HILLS","VILA NOVA DE GAIA","em_construcao","PROMIRIS E THOMAS & PIRON","T0 A T5","2027","12","2027","","","Apartamentos T1/T2/T3/T4 - Comercialização Dills
NÃO TEMOS ANGARIAÇÃO - TRATA-SE DE PARTILHA COM A DILLS","https://www.gaiahills.pt/pt/","41.143201935062514","-8.632433431491977","1","[]","","","",""
"gaia-lofts","","GAIA LOFTS","VILA NOVA DE GAIA","em_construcao","PARADISE PYRAMID","T1","2025","12","2025","","","Apartamentos T1 - Comercialização Dills
TRATA-DE DE UMA PARTILHA COM A DILLS","https://s.craft.me/hpGkqO55cEgrUs","41.1393426429201","-8.621594201230561","1","[]","","","",""
"alum","","ALUM","MAIA","em_construcao","PLANO 3","T1 /  T2","2026","12","2026","","","Apartamentos T1/T2 - Só tem 3 Tipologias T1 (239K) e 1 T2 (297k)
CONCLUSÃO 1 TRIMESTRE 2026","https://www.planoa3.pt/#tipologia","41.22759632184907","-8.616974227896442","1","[]","","","",""
"madalena-vila-mar","","MADALENA VILA MAR","VILA NOVA DE GAIA","em_construcao","EDIMARIP / GRUPO 20","MORADIAS T4","2027","12","2027","","","Moradias T4","https://www.m2o.pt/pt/empreendimento/madalena-vila-mar/","41.10225645354176","-8.659719874444308","1","[]","","","",""
"lurion","","LURION","VILA NOVA DE GAIA","em_construcao","REVITO","Apartamentos T0/T1/T2/T3/T4","2028","12","2028","","","Apartamentos T0/T1/T2/T3/T4
OBRA INICIADA EM SETEMBRO 2025
CONCLUSÃO 1º TRIMESTRE DE 2028","https://revito.pt","41.13389954884105","-8.598404376332649","1","[]","","","",""
"splendouro-village","","SPLENDOURO VILLAGE","VILA NOVA DE GAIA","em_construcao","SHARP DEVELOPERS","MORADIAS  T4 / T5","2028","12","2028","","","29 Moradias T4 a T5
5 MORADIAS ISOLADAS
16 MORADIAS GEMINADAS
8 MORADIAS EM BANDA","http://village.splendouro.com","41.13560172238032","-8.650198933924633","1","[]","","","",""
"the-grand-splendouro","","THE GRAND  SPLENDOURO","VILA NOVA DE GAIA","em_construcao","SHARP DEVELOPERS","T2 / T3 / T4 / T5","2027","12","2027","","","32 Apartamentos T2 a T5","https://grand.splendouro.com","41.13309091751646","-8.667665860923389","1","[]","","","",""
"splendouro-marina-houses","","SPLENDOURO MARINA HOUSES","VILA NOVA DE GAIA","concluido","SHARP DEVELOPERS","MORADIAS T4 / T5","2024","12","2024","","","11 Moradias T4 e T5
MORADIA GARDEN T4 ( disponível o lote 11 )
MORADIAS PANORAMIC T5 ( disponíveis lote 6 e 10 )","https://marina.splendouro.com","41.1392371320332","-8.648993889758607","1","[]","","","",""
"living-sea","","LIVING SEA","VILA NOVA DE GAIA","em_construcao","MCAETANO","T2 / T3 /  T4 / T5","2026","12","2026","","","45 Aparatamentos T2 a T5","https://grupomcaetano.pt/empreendimentos/living-sea/","41.135682386513","-8.667177096092528","1","[]","","","",""
"ocean-living","","OCEAN LIVING","VILA NOVA DE GAIA","concluido","SHALU INVESTMENTS","T2 / T3 / T4","2024","12","2024","","","Apartamentos T2/T3/T4","https://theoceanliving.pt/pt-pt/","41.11538920308218","-8.662048712493501","1","[]","","","",""
"living-prados","","LIVING PRADOS","MATOSINHOS","concluido","MCAETANO","T2 / T3 / T4","2023","12","2023","","","81 Aparatamentos T2 a T4","https://grupomcaetano.pt/empreendimentos/living-prados/","41.17421816440439","-8.685720718592517","1","[]","","","",""
"nautilus-iv","","NAUTILUS IV","MATOSINHOS","em_construcao","MCAETANO","T2 / T3 / T4","2026","12","2026","","","64 Aparatamentos T2 a T4","https://grupomcaetano.pt/empreendimentos/nautilus-iv/","41.17395848527968","-8.683146172174458","1","[]","","","",""
"panorama-douro-residences","","PANORAMA DOURO RESIDENCES","PORTO","concluido","MCAETANO","T2 / T3 / T4","2024","12","2024","","","80 Aparatamentos T2 a T4 + PENTHOUSE","https://grupomcaetano.pt/empreendimentos/panorama-douro-residences/","41.149074155060326","-8.641353189072976","1","[]","","","",""
"marina-douro","","MARINA DOURO","VILA NOVA DE GAIA","em_construcao","MCAETANO","T1 / T2 / T3 / T4 / T5","2026","12","2026","","","Apartamentos T1 a T5
CONCLUSÃO PARA FINAL 2026
 APA_52365","https://marinadouro.com/disponibilidades/","41.14013042837216","-8.651654278112877","1","[]","","","",""
"douro-atlantico-iii","","DOURO ATLÂNTICO III","VILA NOVA DE GAIA","concluido","MCAETANO","T2 / T3 / T4","2025","12","2025","","","21 Aparatamentos T2 a T4","https://grupomcaetano.pt/empreendimentos/douro-atlantico-iii/","41.13499384759188","-8.667757170720947","1","[]","","","",""
"sal-douro-ocean","","SAL DOURO OCEAN","Vila nova de Gaia","concluido","TAGA URBANIC","T1 / T2 / T3","2025","12","2025","","","Apartamentos T1/T2/T3","https://saldouro.com/collection/ocean/","41.134369107234086","-8.668771057960605","1","[]","","","",""
"sal-douro-park","","SAL DOURO PARK","VILA NOVA DE GAIA","em_construcao","TAGA URBANIC","T1 / T2 / T3","2026","12","2026","","","Apartamentos T1/T2/T3","https://saldouro.com/collection/park/","41.13324589063327","-8.667773276265095","1","[]","","","",""
"sal-douro-reserve","","SAL DOURO RESERVE","VILA NOVA DE GAIA","em_construcao","TAGA URBANIC","T1 / T2 / T3","2027","12","2027","","","Apartamentos T1/T2/T3","https://saldouro.com/collection/reserve/","41.134748895546885","-8.667912751125757","1","[]","","","",""
"sal-douro-coast","","SAL DOURO COAST","VILA NOVA DE GAIA","em_construcao","TAGA URBANIC","T1 / T2 / T3","2027","12","2027","","","Apartamentos T1/T2/T3","https://saldouro.com/collection/coast/","41.13324589063327","-8.66776254742966","1","[]","","","",""
"sal-douro-horizon","","SAL DOURO HORIZON","VILA NOVA DE GAIA","em_construcao","TAGA URBANIC","T1 / T2 / T3","2027","12","2027","","","Apartamentos T1/T2/T3","https://saldouro.com/collection/horizon/","41.13324589063327","-8.66776254742966","1","[]","","","",""
"egas-moniz-209","","EGAS MONIZ 209","PORTO","em_construcao","P32 PROPERTIES","T1 / T2 / T3","2027","12","2027","","","15 apartamentos (T1 a T3 duplex, entre 52 m² e 139 m² - Comercializado por Quintela e Penalva","https://egasmoniz209.pt","41.16327642515784","-8.619225835041389","1","[]","","","",""
"casas-alma","","CASAS ALMA","VILA NOVA DE GAIA","em_construcao","NORDEN","MORADIAS T3","2026","12","2026","2850","","14 Moradias T3 - Norden promotor
9 MORADIAS EM BANDA 
5 MORADIAS INDIVIDUAIS","https://www.norden.pt/alma/#","41.07866875799975","-8.619647005820633","1","[]","","","",""
"a-quadra","","A QUADRA","VILA NOVA DE GAIA","em_construcao","PROMIRIS","","2027","12","2027","","","Apartamentos T1/T2/T3 - Comercializado por JLL","https://quadra-gaia.pt","41.13076744940458","-8.605106825709381","1","[]","","","",""
"eleven","","ELEVEN","VILA NOVA DE GAIA","concluido","TAGA URBANIC","T1 / T2 / T3 / T4","2025","12","2025","","","Apartamentos T1/T2/T3/T4 - Taga Urbanic","https://elevengaia.com","41.12894963725594","-8.60895888399385","1","[]","","","",""
"cais-da-pescaria","","CAIS DA PESCARIA","VILA NOVA DE GAIA","em_construcao","ROYAL-VENTURES","T1","2027","12","2027","","","20 Apartamentos T1","https://royal-ventures.com/projects/pescaria-riverfront-vila-nova-de-gaia/","41.14178070487412","-8.624313874416748","1","[]","","","",""
"rasa-503","","RASA 503","VILA NOVA DE GAIA","em_construcao","PLANO INCLINADO","T1 / T2 /  T3","2027","12","2027","","","12 Apartamentos T1 a T3
INICIO DA OBRA MARÇO 2025
CONCLUSÃO SETEMBRO 2027","https://plano-inclinado.pt/projetos/rasa-503-vng","41.11820645430063","-8.610682674417696","1","[]","","","",""
"serralves-239","","SERRALVES 239","PORTO","em_construcao","PLANO INCLINADO","T1/ T2 / T3 / T4","2027","12","2027","","","12 Apartamnetos T1/T2/T3/T4
INICIO DA OBRA JANEIRO 2025
CONCLUSÃO JUNHO 2027","https://plano-inclinado.pt/projetos/serralves-239","41.15524885709748","-8.65070278975788","1","[]","","","",""
"land-roots-river","","LAND ROOTS RIVER","VILA NOVA DE GAIA","em_construcao","BE OPORTO GROUP","T2","2025","12","2025","","","37 Apartamentos T2","https://www.land-roots.com","41.13666037828811","-8.621066547429539","1","[{""title"":"""",""type"":""pdf"",""url"":""https://www.be-oporto.com/home""},{""title"":"""",""type"":""pdf"",""url"":""https://dils.pt/empreendimento/land-roots-river-apartments/23651481?utm_source=google&utm_medium=search&utm_campaign=empreendimento&gad_source=1&gad_campaignid=23134080364&gbraid=0AAAAADJ4vjl5MMfN04D8yHt7ef6FRkVZl&gclid=Cj0KCQiAosrJBhD0ARIsAHebCNpUwHjtYdl6x3J1FRfJevxwCKcAulKx6FEnUZG7KUlkZCJtWsz-CBsaAlbTEALw_wcB""}]","","","",""
"side-avenue","","SIDE AVENUE","VILA NOVA DE GAIA","em_construcao","CLEVEROPTION","T0 / T1 / T2","2027","12","2027","","","Apartamentos T0/T1/T2","https://cleveroption.pt/avenue/","41.12109124577433","-8.60884020325301","1","[]","","","",""
"royal-green","","ROYAL GREEN","VILA NOVA DE GAIA","em_construcao","FOUR PARTNERS","T1 / T2","2026","12","2026","","","Apartamentos T/T2/T2 duplex - 11 pisos
A FOUR PARTNERS É A JUNÇÃO DA CVM E 4 A EMPREENDIMENTOS","https://royalgreentower.pt","41.11826078886197","-8.617716332158436","1","[]","","","",""
"prestige-gaia","","PRESTIGE GAIA","VILA NOVA DE GAIA","em_construcao","FOUR PARTNERS","T1 / T2","2026","12","2026","","","80 Apartamentos T1/T2
A FOUR PARTNERS É UM CONSÓRCIO QUE JUNTOU A CVM E A 4 A EMPREENDIMENTOS","https://prestigegaia.pt","41.12621611065877","-8.63051265374531","1","[]","","","",""
"fojo-residences","","FOJO RESIDENCES","VILA NOVA DE GAIA","em_construcao","GRUPO RIO","T1 / T2","2027","12","2027","","","111 Apartamentos T1/T2","https://gruporio.pt/projeto/fojo/","41.1313715094334","-8.639502539030412","1","[]","","","",""
"jardim-das-flores","","JARDIM DAS FLORES","VILA NOVA DE GAIA","licenciado","GRUPO RIO","T0 / T1 / T2","2030","12","2030","","","152 Apartamentos T0/T1/T2","https://gruporio.pt/projeto/jardim-das-flores/","41.10516809637983","-8.622132239790282","1","[]","","","",""
"sao-dinis","","SÃO DINIS","PORTO","licenciado","GRUPO RIO","T0 / T1 / T2","2028","12","2028","","","38 Apartamentos T0/T1/T2","https://gruporio.pt/projeto/sao-dinis/","41.16785472488655","-8.619386774415608","1","[]","","","",""
"sea-leca","","SEA LEÇA","MATOSINHOS","licenciado","GRUPO RIO","","2030","12","2030","","","Brevemente","https://gruporio.pt/projeto/sea-leca/","41.18199770935888","-8.678189777553738","1","[]","","","",""
"majestic-beach","","MAJESTIC BEACH","VILA NOVA DE GAIA","licenciado","","T1 7 T2 / T3","2027","12","2027","","","Apartamentos T1/T2/T3 - Comercializado por Réplica","https://www.idealista.pt/empreendimento/34259172/","41.12948907623479","-8.6665233835363","1","[]","","","",""
"jardins-do-olival","","JARDINS DO OLIVAL","VILA NOVA DE GAIA","em_construcao","","","2026","12","2026","","","52 Apartamentos T1/T2/T3","","41.04568944537345","-8.504388544282502","1","[]","","","",""
"edificio-serra-do-pilar-condominium","","EDIFICIO SERRA DO PILAR CONDOMÍNIUM","VILA NOVA DE GAIA","em_construcao","KOKYU PROPERTIES","T2 | T3","2026","12","2026","","","12 Apartamentos T2 e T3","https://kokyuproperties.com/pt/projects/serra-do-pilar/index.html","41.135148548757925","-8.606343233021903","1","[]","","","",""
"edificio-genuino-sta-marinha","","EDIFICIO GENUÍNO STA MARINHA","VILA NOVA DE GAIA","concluido","GENUÍNO INVESTMENTS","T1 | T2 | T3","2025","12","2025","","","36 Apartamentos T1/T2/T3","https://genuinoinvestments.com/projeto/genuino-santa-marinha/","41.11885677314856","-8.632138615074714","1","[]","","","",""
"pinheiro-manso-residences","","PINHEIRO MANSO RESIDENCES","PORTO","em_construcao","RIVAGE PROPERTIES","T1 | T2 | T3 | T4","2027","12","2027","","","23 Apartamentos T1/T2/T3/T4
Trata-se de um empreendimento com 23 frações, sendo 8 apartamentos T1, 10 apartamentos T2, 4 apartamentos T3 e 1 apartamento T4.","https://www.luximos.pt/pt/novos-empreendimentos/novo-lancamento-pinheiro-manso-residences-apartamentos-novos-t1-a-t4-para-venda-no-porto?utm_source=google&utm_medium=cpc&utm_campaign=Porto&utm_content=PT&gclid=EAIaIQobChMIjt_PjYC2kQMVP2dBAh0VcQVnEAAYASAAEgJo4vD_BwE&gad_source=1&gad_campaignid=1566070537&gbraid=0AAAAADF_QyuP8y8oyDCSfqgpdFv7xqgk9","41.16585498321708","-8.65142693200518","1","[]","","","",""
"fernao-de-magalhaes-127","","FERNÃO DE MAGALHÃES 127","PORTO","em_construcao","AVENUE","TO | T1 | T2 | T3 | T3+1","2027","12","2027","","","334 Apartamentos T0 a T3+1","https://www.fernaomagalhaes127.pt","41.15165864144376","-8.597703289678405","1","[]","","","",""
"life-in-porto","","LIFE IN PORTO","PORTO","em_construcao","","T0 | T1 | T2","2026","12","2026","","","108 Apartamentos T0/T1/T2","https://www.homehub.pt/pt/empreendimentos/life-in-porto_7/","41.15435513479774","-8.605841232005726","1","[]","","","",""
"antas-atrium","","ANTAS ATRIUM","PORTO","em_construcao","QUEST CAPITAL","T0 | T1 | T2 | T3 | T4","2027","12","2027","","","168 Apartamentos T0 a T4 - 2ª fase","https://antasatrium.com","41.163803187891176","-8.5870737748729","1","[]","","","",""
"torrinha-gardens","","TORRINHA GARDENS","PORTO","em_construcao","KOKYU PROPERTIES","T1 | T2","2027","12","2027","","","27 Apartamentos T1/T2","https://kokyuproperties.com/pt/projects/torrinha-gardens/index.html","41.15272879557559","-8.62132977433331","1","[]","","","",""
"boucas-ribas","","BOUÇAS RIBAS","PORTO","licenciado","","T1 | T2 | T3","2028","12","2028","","","37 Apartamentos T1/T2/T3","https://boucaribas.com","41.16102686008893","-8.574724811453944","1","[]","","","",""
"clover-hill","","CLOVER HILL","PORTO","em_construcao","","T1 | T2","2027","12","2027","","","29 Apartamentos T1/T2","https://www.anteprojectos.com.pt/projectos/39021/cloverhill","41.15608235257066","-8.60240373200569","1","[]","","","",""
